"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene19825",3.745323717475e-74,1.42114306416879,1,1,7.49064743494999e-70
"Gene9374",4.59389773067277e-74,1.36308466721081,1,1,9.18779546134554e-70
"Gene10149",4.64939893118706e-74,1.4535912540473,1,1,9.29879786237413e-70
"Gene19571",6.25221408570806e-68,0.895448551412903,1,1,1.25044281714161e-63
"Gene10866",3.72080420434571e-66,1.19279232404298,1,1,7.44160840869142e-62
"Gene3986",3.87139829465338e-66,0.817758941803656,1,1,7.74279658930676e-62
"Gene7371",1.81171515359594e-65,0.832608513384039,1,1,3.62343030719188e-61
"Gene15488",5.74218152394385e-65,0.788243144551387,1,1,1.14843630478877e-60
"Gene5207",4.23477965063929e-64,1.12355652456231,1,0.998,8.46955930127858e-60
"Gene8174",1.28218513233613e-63,0.964989672105522,1,1,2.56437026467226e-59
"Gene9291",4.93836673727691e-60,0.74064477959458,1,1,9.87673347455382e-56
"Gene6834",1.68443582584623e-55,0.854329044350796,1,1,3.36887165169246e-51
"Gene9871",6.93530495691121e-54,0.941657721513914,1,1,1.38706099138224e-49
"Gene10552",3.22297364307529e-53,0.715896881211801,1,1,6.44594728615058e-49
"Gene13286",4.61842645957755e-53,0.720946822804899,1,1,9.2368529191551e-49
"Gene15726",1.22104016016864e-52,0.933591864144784,1,0.855,2.44208032033728e-48
"Gene16232",4.19864762982477e-52,0.677140158146134,1,1,8.39729525964953e-48
"Gene10331",1.25186883095426e-47,0.714503312945011,0.992,0.851,2.50373766190852e-43
"Gene4682",3.71324437791714e-47,0.703661692503232,1,1,7.42648875583428e-43
"Gene6723",4.08362169588689e-44,0.891453223734091,0.992,0.877,8.16724339177378e-40
