"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene13585",2.79099159635378e-161,1.37801306753401,1,1,5.58198319270756e-157
"Gene17795",9.02282103508069e-161,1.31210976553485,1,1,1.80456420701614e-156
"Gene2170",4.82597072225299e-146,0.919917437675695,1,1,9.65194144450597e-142
"Gene6582",1.07226855316022e-136,0.84582325655826,1,1,2.14453710632044e-132
"Gene7578",3.71076841094273e-115,0.62024429298728,1,1,7.42153682188545e-111
"Gene7439",1.76317445732443e-113,0.628935541577006,1,1,3.52634891464886e-109
"Gene6352",9.97727374004706e-108,0.706138844267329,1,1,1.99545474800941e-103
"Gene3376",3.6031230689819e-105,0.681674768509733,1,1,7.2062461379638e-101
"Gene17566",1.56675459327017e-98,0.55065510348645,1,1,3.13350918654034e-94
"Gene11123",4.49694224221595e-93,0.808512167296151,1,0.979,8.99388448443191e-89
"Gene8367",4.90092726354206e-90,0.789391016460752,0.998,0.946,9.80185452708412e-86
"Gene13144",7.0317238042916e-90,0.475234766077238,1,1,1.40634476085832e-85
"Gene16002",5.29957878600059e-89,0.744815366123829,1,0.982,1.05991575720012e-84
"Gene11782",3.81643836576403e-85,0.529618891190699,1,1,7.63287673152807e-81
"Gene19986",2.72302316481986e-84,0.478426288212309,1,1,5.44604632963971e-80
"Gene15805",2.32653227315869e-82,0.721196723719589,1,0.989,4.65306454631737e-78
"Gene7489",4.0824580820508e-78,0.680670741872019,0.993,0.954,8.16491616410159e-74
"Gene10251",1.46735572238442e-77,0.588429446465057,1,0.958,2.93471144476883e-73
"Gene10116",4.82720809306034e-77,0.578905301673423,1,1,9.65441618612069e-73
"Gene18651",2.08156499260338e-75,0.626958048296417,0.988,0.84,4.16312998520676e-71
