"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene9374",4.53938195900807e-71,1.0635472423236,1,1,9.07876391801614e-67
"Gene19825",4.32229951997452e-69,1.04131643308503,1,1,8.64459903994903e-65
"Gene10149",9.83209870384547e-69,1.01732713935785,1,1,1.96641974076909e-64
"Gene15488",9.28774361091456e-59,0.675132805050245,1,1,1.85754872218291e-54
"Gene7371",3.65508878826649e-56,0.631227300073651,1,1,7.31017757653298e-52
"Gene5207",4.97032922382964e-56,0.86750840972463,1,0.999,9.94065844765927e-52
"Gene10866",1.44188250867802e-55,0.932841978487883,1,1,2.88376501735604e-51
"Gene9291",1.2686171692786e-52,0.673503473030252,1,1,2.53723433855719e-48
"Gene3986",5.23495360572977e-52,0.614950067252994,1,1,1.04699072114595e-47
"Gene8174",2.45205370779509e-47,0.693019764133807,1,1,4.90410741559017e-43
"Gene19571",9.82893097459378e-44,0.604797078802343,1,1,1.96578619491876e-39
"Gene6834",1.64364364109955e-38,0.644908395529896,1,0.998,3.28728728219911e-34
"Gene13286",6.10798927119704e-38,0.586686421879655,1,1,1.22159785423941e-33
"Gene15246",3.39813895710435e-37,0.482026211431317,1,1,6.7962779142087e-33
"Gene4682",2.87237616022162e-35,0.611635948153633,1,1,5.74475232044323e-31
"Gene9871",9.89377230024609e-34,0.693813145500757,1,1,1.97875446004922e-29
"Gene10552",1.12207009457297e-32,0.513931142133792,1,1,2.24414018914594e-28
"Gene19591",1.30842062638996e-32,0.549972463067121,1,1,2.61684125277993e-28
"Gene12889",2.31774426846432e-32,0.444964351779913,1,1,4.63548853692864e-28
"Gene16232",2.96166786761316e-31,0.46579789430234,1,1,5.92333573522632e-27
