"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene11094",2.45988373804502e-109,1.02876717032677,1,1,4.91976747609004e-105
"Gene17145",1.68611583428013e-103,0.960897916627186,1,1,3.37223166856026e-99
"Gene6464",6.64849395785321e-74,0.626350483256747,1,1,1.32969879157064e-69
"Gene12380",1.02179859015664e-70,0.564099623377013,1,1,2.04359718031327e-66
"Gene15033",6.96930875956821e-70,0.729394426177711,1,1,1.39386175191364e-65
"Gene13890",1.96280444159399e-66,0.674698498587219,1,0.968,3.92560888318797e-62
"Gene19696",5.71704795948238e-63,0.620473027135173,1,1,1.14340959189648e-58
"Gene3856",1.13745523365302e-61,0.577403678625464,1,1,2.27491046730605e-57
"Gene5239",8.79861402881221e-58,0.625358046849934,1,0.851,1.75972280576244e-53
"Gene14948",5.17176789496124e-55,0.614698428275793,1,0.994,1.03435357899225e-50
"Gene5543",7.51000314121462e-54,0.51199917603565,0.919,0.555,1.50200062824292e-49
"Gene15697",2.61005407130246e-51,0.613828143734029,0.991,0.871,5.22010814260492e-47
"Gene6384",1.12524208446964e-50,0.589092708155051,1,0.977,2.25048416893928e-46
"Gene18785",1.15311128982651e-47,0.515716344307346,1,1,2.30622257965301e-43
"Gene19220",1.4024666739958e-45,0.463597802610162,1,1,2.80493334799161e-41
"Gene13660",2.67582539439707e-44,0.558696760890556,1,1,5.35165078879414e-40
"Gene2620",3.60427216275935e-44,0.507976146721768,0.991,0.858,7.20854432551871e-40
"Gene9815",6.75551742793797e-43,0.424960018432812,1,1,1.35110348558759e-38
"Gene11679",2.9969981877588e-42,0.511342323948902,1,0.997,5.99399637551759e-38
"Gene6236",6.35290372019643e-42,0.320397741717572,1,1,1.27058074403929e-37
