"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",54941,7906,"Cell1","Batch1","Group2",54730.2601657789,"1","1"
"Cell2","SeuratProject",60111,8252,"Cell2","Batch1","Group1",60156.0861759808,"0","0"
"Cell3","SeuratProject",63613,8528,"Cell3","Batch1","Group3",63941.3644615961,"2","2"
"Cell4","SeuratProject",52512,7785,"Cell4","Batch1","Group3",52485.7144630266,"2","2"
"Cell5","SeuratProject",52552,7799,"Cell5","Batch1","Group1",52115.6080977101,"0","0"
"Cell6","SeuratProject",48193,7486,"Cell6","Batch1","Group3",48823.9885198831,"2","2"
"Cell7","SeuratProject",47843,7486,"Cell7","Batch1","Group1",48044.469905957,"0","0"
"Cell8","SeuratProject",43111,6925,"Cell8","Batch1","Group4",43320.2584526994,"3","3"
"Cell9","SeuratProject",91668,9944,"Cell9","Batch1","Group3",91983.0823479236,"2","2"
"Cell10","SeuratProject",51844,7727,"Cell10","Batch1","Group2",51866.7299657593,"1","1"
"Cell11","SeuratProject",71818,8918,"Cell11","Batch1","Group2",71657.5528402103,"1","1"
"Cell12","SeuratProject",47636,7438,"Cell12","Batch1","Group1",47571.3327938584,"0","0"
"Cell13","SeuratProject",48215,7550,"Cell13","Batch1","Group2",48623.3975877642,"1","1"
"Cell14","SeuratProject",59022,8201,"Cell14","Batch1","Group2",59125.4521589774,"1","1"
"Cell15","SeuratProject",79107,9234,"Cell15","Batch1","Group1",78869.2131523996,"0","0"
"Cell16","SeuratProject",68398,8728,"Cell16","Batch1","Group4",67821.7628480603,"3","3"
"Cell17","SeuratProject",51651,7680,"Cell17","Batch1","Group1",52100.8373055411,"0","0"
"Cell18","SeuratProject",64434,8519,"Cell18","Batch1","Group1",64181.6107706383,"0","0"
"Cell19","SeuratProject",42923,7116,"Cell19","Batch1","Group1",42950.906249105,"0","0"
"Cell20","SeuratProject",76882,9269,"Cell20","Batch1","Group2",76502.7536465843,"1","1"
"Cell21","SeuratProject",74431,9032,"Cell21","Batch1","Group1",73852.3083626827,"0","0"
"Cell22","SeuratProject",60626,8406,"Cell22","Batch1","Group1",60723.4383559924,"0","0"
"Cell23","SeuratProject",63952,8527,"Cell23","Batch1","Group2",64102.227855418,"1","1"
"Cell24","SeuratProject",54977,7914,"Cell24","Batch1","Group1",54644.8709254107,"0","0"
"Cell25","SeuratProject",64752,8536,"Cell25","Batch1","Group3",64375.1262899132,"2","2"
"Cell26","SeuratProject",65267,8528,"Cell26","Batch1","Group4",65262.8316172232,"3","3"
"Cell27","SeuratProject",30403,5832,"Cell27","Batch1","Group1",31058.0605175676,"0","0"
"Cell28","SeuratProject",60984,8360,"Cell28","Batch1","Group2",60834.8622855872,"1","1"
"Cell29","SeuratProject",63584,8492,"Cell29","Batch1","Group2",63365.6899423922,"1","1"
"Cell30","SeuratProject",47440,7361,"Cell30","Batch1","Group3",47686.3218693271,"2","2"
"Cell31","SeuratProject",67515,8701,"Cell31","Batch1","Group1",66947.6976293693,"0","0"
"Cell32","SeuratProject",80383,9428,"Cell32","Batch1","Group2",80094.0414624296,"1","1"
"Cell33","SeuratProject",72411,8887,"Cell33","Batch1","Group4",71969.2377110471,"3","3"
"Cell34","SeuratProject",36464,6403,"Cell34","Batch1","Group1",36617.3345752179,"0","0"
"Cell35","SeuratProject",79146,9248,"Cell35","Batch1","Group1",78550.6031689718,"0","0"
"Cell36","SeuratProject",51874,7738,"Cell36","Batch1","Group1",51708.3423055689,"0","0"
"Cell37","SeuratProject",65003,8643,"Cell37","Batch1","Group4",64664.2117946047,"3","3"
"Cell38","SeuratProject",72660,9010,"Cell38","Batch1","Group4",72081.0214626358,"3","3"
"Cell39","SeuratProject",47276,7280,"Cell39","Batch1","Group1",46729.0872431832,"0","0"
"Cell40","SeuratProject",84747,9648,"Cell40","Batch1","Group3",84737.2733047821,"2","2"
"Cell41","SeuratProject",65835,8602,"Cell41","Batch1","Group4",65766.4833588656,"3","3"
"Cell42","SeuratProject",62294,8428,"Cell42","Batch1","Group1",63208.1730984334,"0","0"
"Cell43","SeuratProject",52486,7784,"Cell43","Batch1","Group2",52370.9456752887,"1","1"
"Cell44","SeuratProject",66468,8722,"Cell44","Batch1","Group3",66788.6114028972,"2","2"
"Cell45","SeuratProject",64098,8584,"Cell45","Batch1","Group1",63517.8024770834,"0","0"
