"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene11094",1.11664483381346e-89,0.726695202091403,1,1,2.23328966762693e-85
"Gene17145",6.79978955309308e-79,0.683832163615771,1,1,1.35995791061862e-74
"Gene12380",3.60237492104155e-47,0.422701064046739,1,1,7.20474984208309e-43
"Gene6464",8.78225379749816e-45,0.448903514881562,1,1,1.75645075949963e-40
"Gene19696",1.39079056966471e-44,0.49189611003237,1,1,2.78158113932942e-40
"Gene15033",3.17012629470059e-43,0.517145193375535,1,1,6.34025258940118e-39
"Gene3856",1.974116786103e-41,0.461642262144996,1,1,3.94823357220601e-37
"Gene18785",5.04153989571141e-36,0.40964684897968,1,1,1.00830797914228e-31
"Gene13660",6.37241182959472e-35,0.496186671311383,1,0.999,1.27448236591894e-30
"Gene2944",6.05664037140723e-34,0.327812501482576,1,1,1.21132807428145e-29
"Gene6384",2.40562323727537e-33,0.442602753676436,0.996,0.977,4.81124647455075e-29
"Gene13890",1.87744648334897e-31,0.447285239564218,0.996,0.967,3.75489296669795e-27
"Gene5239",1.45774763264229e-30,0.398333048302551,0.964,0.844,2.91549526528459e-26
"Gene6236",7.22769353060722e-30,0.279264472155754,1,1,1.44553870612144e-25
"Gene5543",2.06363587320233e-29,0.33498612520262,0.843,0.552,4.12727174640467e-25
"Gene15697",1.08660024686951e-27,0.406042488361044,0.969,0.883,2.17320049373902e-23
"Gene14948",2.30948954157422e-27,0.39330331906763,1,0.99,4.61897908314844e-23
"Gene19220",1.56241951365194e-26,0.337115341028702,1,1,3.12483902730387e-22
"Gene9815",1.85339231628992e-25,0.312337363081364,1,1,3.70678463257984e-21
"Gene16447",4.94564146278395e-22,0.319123063453999,1,1,9.89128292556789e-18
