"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene9374",2.84713843689677e-60,0.735447205003151,1,1,5.69427687379355e-56
"Gene19825",1.76428221453246e-57,0.762816592114639,1,1,3.52856442906493e-53
"Gene10149",4.11062510247593e-53,0.687748686683892,1,1,8.22125020495186e-49
"Gene15488",3.12359287619472e-39,0.474266335377585,1,1,6.24718575238943e-35
"Gene5207",1.76046795500622e-38,0.649871108934515,1,0.999,3.52093591001244e-34
"Gene9291",9.54708344294055e-38,0.517604735671922,1,1,1.90941668858811e-33
"Gene7371",6.048236470579e-35,0.423967668229833,1,1,1.2096472941158e-30
"Gene10866",2.7378677222549e-32,0.624893498914622,1,1,5.4757354445098e-28
"Gene13286",3.93957506887218e-26,0.454915115131331,1,1,7.87915013774435e-22
"Gene9871",4.93861210566448e-26,0.52090790704614,1,1,9.87722421132897e-22
"Gene8174",1.69978459755987e-24,0.458625096855817,1,1,3.39956919511975e-20
"Gene15246",2.44991596896534e-24,0.35049758350748,1,1,4.89983193793069e-20
"Gene19571",1.81531292300421e-22,0.342655904055513,1,1,3.63062584600843e-18
"Gene2638",4.43499818990114e-22,0.444214534446997,1,0.999,8.86999637980228e-18
"Gene17077",8.9918348777696e-22,0.427056186646748,1,1,1.79836697555392e-17
"Gene3091",1.20110743276575e-21,0.319311844472723,1,1,2.4022148655315e-17
"Gene15726",1.92423601581247e-21,0.466362753569916,0.992,0.866,3.84847203162495e-17
"Gene6834",4.79440879975662e-21,0.444728882037014,1,0.997,9.58881759951324e-17
"Gene3986",1.18685315245445e-19,0.311545551313358,1,1,2.3737063049089e-15
"Gene4682",2.00935180068167e-19,0.407876469664537,1,1,4.01870360136333e-15
