"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene10569",2.74231138869796e-84,0.729498403132973,1,1,5.48462277739592e-80
"Gene14576",3.39090830527833e-81,0.774811292408098,1,1,6.78181661055666e-77
"Gene16935",2.31996696465264e-71,0.56039578579902,1,1,4.63993392930528e-67
"Gene5535",2.46179527182891e-66,0.717256806293294,1,1,4.92359054365782e-62
"Gene12991",3.05049709237906e-56,0.496169399938863,1,1,6.10099418475813e-52
"Gene14927",5.92277993994939e-49,0.415712701667787,1,1,1.18455598798988e-44
"Gene16863",3.41107840147791e-35,0.287565892696999,1,1,6.82215680295582e-31
"Gene15764",3.83415806716165e-33,0.339174673416213,1,1,7.6683161343233e-29
"Gene19027",5.30700673804044e-30,0.255658924406007,1,1,1.06140134760809e-25
"Gene13954",3.14208626492842e-28,0.384970413760834,1,0.973,6.28417252985683e-24
"Gene6159",4.04740818148267e-28,0.394025786733045,1,1,8.09481636296533e-24
"Gene17077",5.20030265551888e-26,0.36646238286741,1,1,1.04006053110378e-21
"Gene1041",1.24516758540331e-25,0.358087157569064,0.982,0.876,2.49033517080662e-21
"Gene5172",5.81235822070675e-25,0.385983843735367,0.982,0.917,1.16247164414135e-20
"Gene13887",1.20852924246843e-23,0.351778348614794,1,1,2.41705848493687e-19
"Gene2374",1.24981412442347e-23,0.341867205036463,0.977,0.895,2.49962824884694e-19
"Gene7641",1.99220560763788e-23,0.3159836899547,1,1,3.98441121527576e-19
"Gene12155",1.87396672028525e-22,0.274636289707732,1,1,3.7479334405705e-18
"Gene6614",1.00612702526462e-21,0.318745083615895,0.872,0.654,2.01225405052925e-17
"Gene16239",5.34076817865319e-21,0.37418861122306,1,0.988,1.06815363573064e-16
