"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",54016,7935,"Cell1","Batch1","Group2",54730.2601657789,"0","0"
"Cell2","SeuratProject",60644,8364,"Cell2","Batch1","Group1",60156.0861759808,"1","1"
"Cell3","SeuratProject",63160,8477,"Cell3","Batch1","Group3",63941.3644615961,"3","3"
"Cell4","SeuratProject",52536,7756,"Cell4","Batch1","Group3",52485.7144630266,"1","1"
"Cell5","SeuratProject",52715,7714,"Cell5","Batch1","Group1",52115.6080977101,"0","0"
"Cell6","SeuratProject",48702,7507,"Cell6","Batch1","Group3",48823.9885198831,"4","4"
"Cell7","SeuratProject",47948,7465,"Cell7","Batch1","Group1",48044.469905957,"1","1"
"Cell8","SeuratProject",43464,7092,"Cell8","Batch1","Group4",43320.2584526994,"6","6"
"Cell9","SeuratProject",92147,9834,"Cell9","Batch1","Group3",91983.0823479236,"2","2"
"Cell10","SeuratProject",52199,7783,"Cell10","Batch1","Group2",51866.7299657593,"3","3"
"Cell11","SeuratProject",71976,8980,"Cell11","Batch1","Group2",71657.5528402103,"3","3"
"Cell12","SeuratProject",47464,7434,"Cell12","Batch1","Group1",47571.3327938584,"4","4"
"Cell13","SeuratProject",48849,7511,"Cell13","Batch1","Group2",48623.3975877642,"5","5"
"Cell14","SeuratProject",59574,8199,"Cell14","Batch1","Group2",59125.4521589774,"1","1"
"Cell15","SeuratProject",78803,9319,"Cell15","Batch1","Group1",78869.2131523996,"2","2"
"Cell16","SeuratProject",67262,8751,"Cell16","Batch1","Group4",67821.7628480603,"2","2"
"Cell17","SeuratProject",51946,7717,"Cell17","Batch1","Group1",52100.8373055411,"6","6"
"Cell18","SeuratProject",64853,8533,"Cell18","Batch1","Group1",64181.6107706383,"6","6"
"Cell19","SeuratProject",42979,7056,"Cell19","Batch1","Group1",42950.906249105,"2","2"
"Cell20","SeuratProject",76748,9278,"Cell20","Batch1","Group2",76502.7536465843,"1","1"
"Cell21","SeuratProject",73793,9014,"Cell21","Batch1","Group1",73852.3083626827,"5","5"
"Cell22","SeuratProject",60406,8390,"Cell22","Batch1","Group1",60723.4383559924,"1","1"
"Cell23","SeuratProject",65030,8525,"Cell23","Batch1","Group2",64102.227855418,"1","1"
"Cell24","SeuratProject",54944,7971,"Cell24","Batch1","Group1",54644.8709254107,"3","3"
"Cell25","SeuratProject",64754,8464,"Cell25","Batch1","Group3",64375.1262899132,"1","1"
"Cell26","SeuratProject",65608,8634,"Cell26","Batch1","Group4",65262.8316172232,"3","3"
"Cell27","SeuratProject",30806,5875,"Cell27","Batch1","Group1",31058.0605175676,"0","0"
"Cell28","SeuratProject",61060,8329,"Cell28","Batch1","Group2",60834.8622855872,"0","0"
"Cell29","SeuratProject",64036,8539,"Cell29","Batch1","Group2",63365.6899423922,"4","4"
"Cell30","SeuratProject",48094,7364,"Cell30","Batch1","Group3",47686.3218693271,"0","0"
"Cell31","SeuratProject",67362,8729,"Cell31","Batch1","Group1",66947.6976293693,"4","4"
"Cell32","SeuratProject",79415,9403,"Cell32","Batch1","Group2",80094.0414624296,"4","4"
"Cell33","SeuratProject",71787,9065,"Cell33","Batch1","Group4",71969.2377110471,"6","6"
"Cell34","SeuratProject",36569,6453,"Cell34","Batch1","Group1",36617.3345752179,"0","0"
