"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene11094",5.61480935484015e-49,0.423132799977466,1,1,1.12296187096803e-44
"Gene17145",7.25105345305745e-34,0.388261663815969,1,1,1.45021069061149e-29
"Gene12380",8.67651108443447e-24,0.280448777846996,1,1,1.73530221688689e-19
"Gene6464",4.31663258536333e-22,0.294946519688358,1,1,8.63326517072667e-18
"Gene19696",1.71461101812493e-20,0.328736616411355,1,1,3.42922203624985e-16
"Gene3856",3.16409632050775e-17,0.257567857851264,1,1,6.3281926410155e-13
"Gene6384",6.14168079360707e-16,0.289575098526933,0.991,0.974,1.22833615872141e-11
"Gene18785",1.12638979576802e-13,0.259327224402901,1,1,2.25277959153604e-09
"Gene15033",5.78731825102702e-13,0.279920880838972,1,0.999,1.1574636502054e-08
"Gene13660",6.77727389368484e-12,0.25755411230972,1,1,1.35545477873697e-07
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA
